Date,Cured,Confirmed,Deaths,Active,daily_cured,daily_confirmed,daily_deaths
2020-01-30,0,1,0,1,,,
2020-01-31,0,1,0,1,0.0,0.0,0.0
2020-02-01,0,2,0,2,0.0,1.0,0.0
2020-02-02,0,3,0,3,0.0,1.0,0.0
2020-02-03,0,3,0,3,0.0,0.0,0.0
2020-02-04,0,3,0,3,0.0,0.0,0.0
2020-02-05,0,3,0,3,0.0,0.0,0.0
2020-02-06,0,3,0,3,0.0,0.0,0.0
2020-02-07,0,3,0,3,0.0,0.0,0.0
2020-02-08,0,3,0,3,0.0,0.0,0.0
2020-02-09,0,3,0,3,0.0,0.0,0.0
2020-02-10,0,3,0,3,0.0,0.0,0.0
2020-02-11,0,3,0,3,0.0,0.0,0.0
2020-02-12,0,3,0,3,0.0,0.0,0.0
2020-02-13,0,3,0,3,0.0,0.0,0.0
2020-02-14,0,3,0,3,0.0,0.0,0.0
2020-02-15,0,3,0,3,0.0,0.0,0.0
2020-02-16,0,3,0,3,0.0,0.0,0.0
2020-02-17,0,3,0,3,0.0,0.0,0.0
2020-02-18,0,3,0,3,0.0,0.0,0.0
2020-02-19,0,3,0,3,0.0,0.0,0.0
2020-02-20,0,3,0,3,0.0,0.0,0.0
2020-02-21,0,3,0,3,0.0,0.0,0.0
2020-02-22,0,3,0,3,0.0,0.0,0.0
2020-02-23,0,3,0,3,0.0,0.0,0.0
2020-02-24,0,3,0,3,0.0,0.0,0.0
2020-02-25,0,3,0,3,0.0,0.0,0.0
2020-02-26,0,3,0,3,0.0,0.0,0.0
2020-02-27,0,3,0,3,0.0,0.0,0.0
2020-02-28,0,3,0,3,0.0,0.0,0.0
2020-02-29,0,3,0,3,0.0,0.0,0.0
2020-03-01,0,3,0,3,0.0,0.0,0.0
2020-03-02,0,5,0,5,0.0,2.0,0.0
2020-03-03,3,6,0,3,3.0,1.0,0.0
2020-03-04,3,28,0,25,0.0,22.0,0.0
2020-03-05,3,30,0,27,0.0,2.0,0.0
2020-03-06,3,31,0,28,0.0,1.0,0.0
2020-03-07,3,34,0,31,0.0,3.0,0.0
2020-03-08,3,39,0,36,0.0,5.0,0.0
2020-03-09,3,46,0,43,0.0,7.0,0.0
2020-03-10,3,58,0,55,0.0,12.0,0.0
2020-03-11,3,60,0,57,0.0,2.0,0.0
2020-03-12,3,74,0,71,0.0,14.0,0.0
2020-03-13,3,81,1,78,0.0,7.0,1.0
2020-03-14,10,84,2,74,7.0,3.0,1.0
2020-03-15,13,110,2,97,3.0,26.0,0.0
2020-03-16,13,114,2,101,0.0,4.0,0.0
2020-03-17,14,137,3,123,1.0,23.0,1.0
2020-03-18,14,151,3,137,0.0,14.0,0.0
2020-03-19,20,173,4,153,6.0,22.0,1.0
2020-03-20,23,223,4,200,3.0,50.0,0.0
2020-03-21,23,283,4,260,0.0,60.0,0.0
2020-03-22,24,360,7,336,1.0,77.0,3.0
2020-03-23,24,433,7,409,0.0,73.0,0.0
2020-03-24,40,519,9,479,16.0,86.0,2.0
2020-03-25,43,606,10,563,3.0,87.0,1.0
2020-03-26,45,694,15,649,2.0,88.0,5.0
2020-03-27,67,724,17,657,22.0,30.0,2.0
2020-03-28,80,909,19,829,13.0,185.0,2.0
2020-03-29,96,1024,27,928,16.0,115.0,8.0
2020-03-30,102,1251,31,1149,6.0,227.0,4.0
2020-03-31,124,1397,35,1273,22.0,146.0,4.0
2020-04-01,144,1834,41,1690,20.0,437.0,6.0
2020-04-02,156,2069,53,1913,12.0,235.0,12.0
2020-04-03,163,2547,62,2384,7.0,478.0,9.0
2020-04-04,213,3072,75,2859,50.0,525.0,13.0
2020-04-05,275,3577,83,3302,62.0,505.0,8.0
2020-04-06,319,4281,111,3962,44.0,704.0,28.0
2020-04-07,353,4789,124,4436,34.0,508.0,13.0
2020-04-08,411,5274,149,4863,58.0,485.0,25.0
2020-04-09,478,5865,169,5387,67.0,591.0,20.0
2020-04-10,516,6761,206,6245,38.0,896.0,37.0
2020-04-11,653,7529,242,6876,137.0,768.0,36.0
2020-04-12,765,8447,273,7682,112.0,918.0,31.0
2020-04-13,980,9352,324,8372,215.0,905.0,51.0
2020-04-14,1190,10815,353,9625,210.0,1463.0,29.0
2020-04-15,1344,11933,392,10589,154.0,1118.0,39.0
2020-04-16,1515,12759,420,11244,171.0,826.0,28.0
2020-04-17,1767,13835,452,12068,252.0,1076.0,32.0
2020-04-18,2015,14792,488,12777,248.0,957.0,36.0
2020-04-19,2302,16116,519,13814,287.0,1324.0,31.0
2020-04-20,2842,17656,559,14814,540.0,1540.0,40.0
2020-04-21,3260,18985,603,15725,418.0,1329.0,44.0
2020-04-22,3960,20471,652,16511,700.0,1486.0,49.0
2020-04-23,4325,21700,686,17375,365.0,1229.0,34.0
2020-04-24,4814,23452,723,18638,489.0,1752.0,37.0
2020-04-25,5210,24893,779,19683,396.0,1441.0,56.0
2020-04-26,5914,26605,826,20691,704.0,1712.0,47.0
2020-04-27,6362,28160,886,21798,448.0,1555.0,60.0
2020-04-28,7027,29834,937,22807,665.0,1674.0,51.0
2020-04-29,7797,31709,1008,23912,770.0,1875.0,71.0
2020-04-30,8373,33330,1075,24957,576.0,1621.0,67.0
2020-05-01,9065,34972,1152,25907,692.0,1642.0,77.0
2020-05-02,9951,37157,1218,27206,886.0,2185.0,66.0
2020-05-03,10887,40124,1306,29237,936.0,2967.0,88.0
2020-05-04,11762,42836,1389,31074,875.0,2712.0,83.0
2020-05-05,13161,46711,1583,33550,1399.0,3875.0,194.0
2020-05-06,14183,49391,1694,35208,1022.0,2680.0,111.0
2020-05-07,15267,52952,1783,37685,1084.0,3561.0,89.0
2020-05-08,16540,56342,1886,39802,1273.0,3390.0,103.0
2020-05-09,17847,59662,1981,41815,1307.0,3320.0,95.0
2020-05-10,19358,62939,2109,43581,1511.0,3277.0,128.0
2020-05-11,20917,67152,2206,46235,1559.0,4213.0,97.0
2020-05-12,22455,70756,2293,48301,1538.0,3604.0,87.0
2020-05-13,24386,74281,2415,49895,1931.0,3525.0,122.0
2020-05-14,26235,78003,2549,51768,1849.0,3722.0,134.0
2020-05-15,27920,81970,2649,54050,1685.0,3967.0,100.0
2020-05-16,30153,85710,2752,55557,2233.0,3740.0,103.0
2020-05-17,34109,90637,2872,56528,3956.0,4927.0,120.0
2020-05-18,36824,95759,3029,58935,2715.0,5122.0,157.0
2020-05-19,39174,100325,3163,61151,2350.0,4566.0,134.0
2020-05-20,42298,106750,3303,64452,3124.0,6425.0,140.0
2020-05-21,45300,112359,3435,67059,3002.0,5609.0,132.0
2020-05-22,48534,118447,3583,69913,3234.0,6088.0,148.0
2020-05-23,51784,125101,3720,73317,3250.0,6654.0,137.0
2020-05-24,54441,131868,3867,77427,2657.0,6767.0,147.0
2020-05-25,57721,138845,4021,81124,3280.0,6977.0,154.0
2020-05-26,60491,145380,4167,84889,2770.0,6535.0,146.0
2020-05-27,64426,151767,4337,87341,3935.0,6387.0,170.0
2020-05-28,67692,158333,4531,90641,3266.0,6566.0,194.0
2020-05-29,71106,165799,4706,94693,3414.0,7466.0,175.0
2020-05-30,82370,173763,4971,91393,11264.0,7964.0,265.0
2020-05-31,86984,182143,5164,95159,4614.0,8380.0,193.0
2020-06-01,91819,190535,5394,98716,4835.0,8392.0,230.0
2020-06-02,95527,198706,5598,103179,3708.0,8171.0,204.0
2020-06-03,100303,207615,5815,107312,4776.0,8909.0,217.0
2020-06-04,104107,216919,6075,112812,3804.0,9304.0,260.0
2020-06-05,109462,226770,6348,117308,5355.0,9851.0,273.0
2020-06-06,114073,236657,6642,122584,4611.0,9887.0,294.0
2020-06-07,119293,246628,6929,127335,5220.0,9971.0,287.0
2020-06-08,124095,256611,7135,132516,4802.0,9983.0,206.0
2020-06-09,129215,266598,7466,137383,5120.0,9987.0,331.0
2020-06-10,135206,276583,7745,141377,5991.0,9985.0,279.0
2020-06-11,141029,286579,8102,145550,5823.0,9996.0,357.0
2020-06-12,147195,297535,8498,150340,6166.0,10956.0,396.0
2020-06-13,154330,308993,8884,154663,7135.0,11458.0,386.0
2020-06-14,162379,320922,9195,158543,8049.0,11929.0,311.0
2020-06-15,169798,332424,9520,162626,7419.0,11502.0,325.0
2020-06-16,180013,343091,9900,163078,10215.0,10667.0,380.0
2020-06-17,186935,354065,11903,167130,6922.0,10974.0,2003.0
2020-06-18,194325,366946,12237,172621,7390.0,12881.0,334.0
2020-06-19,204711,380532,12573,175821,10386.0,13586.0,336.0
2020-06-20,213831,395048,12948,181217,9120.0,14516.0,375.0
2020-06-21,227756,410461,13254,182705,13925.0,15413.0,306.0
2020-06-22,237196,425282,13699,188086,9440.0,14821.0,445.0
2020-06-23,248190,440215,14011,192025,10994.0,14933.0,312.0
2020-06-24,258685,456183,14476,197498,10495.0,15968.0,465.0
2020-06-25,271697,473105,14894,201408,13012.0,16922.0,418.0
